text,kmeans_10_direct,kmeans_15_direct,kmeans_20_direct,hdbscan_10_direct,hdbscan_15_direct,hdbscan_20_direct,kmeans_10_pca,kmeans_10_umap,kmeans_15_pca,kmeans_15_umap,kmeans_20_pca,kmeans_20_umap,hdbscan_10_pca,hdbscan_10_umap,hdbscan_15_pca,hdbscan_15_umap,hdbscan_20_pca,hdbscan_20_umap
Legierungsabweichung Ti Kaltlauf vs Soll Lunker,4,13,13,59,51,36,3,9,3,9,3,18,4,114,4,83,3,61
Oberflächenrauheit Lunker außerhalb Spezifikation Nacharbeit gemäß,1,1,1,11,9,8,2,6,0,6,18,6,-1,37,-1,29,-1,20
Bearbeitungsfehler Lunker Kaltlauf Teil Kernreparatur läuft,1,1,16,82,71,50,0,1,10,1,5,1,31,73,23,57,18,41
Schmelzofen Schmelzofen TempAbweichung °C Wärmenachbehandlung eingeleitet,6,6,6,71,60,43,5,0,5,0,10,0,51,92,34,68,28,44
Sandfeuchte Kernschale Verschleiß außerhalb Toleranz Normabweichung,0,0,0,40,36,23,2,0,14,0,0,0,39,50,26,41,20,29
Röntgenprüfung zeigt Lunker in Zone Kernschale Verschleiß Normabweichung,1,11,1,23,19,14,5,5,2,2,2,18,-1,27,-1,22,-1,16
Röntgenprüfung zeigt Kaltlauf in Zone Kernschale Verschleiß,1,10,15,42,25,19,5,4,5,4,19,7,58,22,40,16,33,8
Dichtheitsprüfung Fehler Lunker mbarmin vs max HandlingSchaden,1,1,1,13,5,4,5,2,2,14,2,14,61,108,39,77,31,56
Gasporosität an Radträger Charge Nacharbeit gemäß,8,8,8,61,49,34,0,3,14,5,14,5,25,45,18,-1,15,-1
Ausschuss Materialfehler an Zylinderkopf Ursache Sandfeuchte zu hoch ≥ teilkonform,3,3,17,81,70,-1,2,1,0,12,16,12,-1,32,29,27,23,13
Spektralanalyse zeigt SiMangel Charge nicht konform,1,12,12,2,1,0,9,3,9,3,9,17,-1,11,-1,7,-1,2
Oberflächenrauheit Lunker außerhalb Spezifikation ¦ Normabweichung,1,1,1,11,9,8,2,6,0,6,18,6,55,37,37,29,27,20
Härteprüfung Sandausbruch Kaltlauf vs Sandbindermangel konform,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Qualitätsabweichung Kaltlauf Lunker ¦ Porosität ¦ Normabweichung Nacharbeit gemäß,7,7,7,49,41,28,5,9,10,9,10,9,-1,55,-1,36,-1,24
Röntgenprüfung zeigt Kaltlauf in Zone HandlingSchaden,1,10,15,35,25,19,7,7,5,7,19,19,-1,14,-1,12,-1,5
Schmelzofen Holding Furnace TempAbweichung °C Chargenanalyse Mg Ti,6,6,6,56,-1,-1,0,2,11,2,11,2,-1,76,-1,45,-1,32
Oberflächenrauheit Kernschale Verschleiß außerhalb Spezifikation Verdacht Legierungsdrift Kernreparatur läuft,1,10,10,17,13,10,5,3,10,3,10,17,51,7,34,6,28,2
Kernbruch Ursache Kernschale Verschleiß,3,3,17,88,76,55,8,1,5,1,5,1,8,74,8,58,6,42
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Sandbindermangel,5,5,5,31,28,7,7,1,7,13,17,13,37,88,28,64,22,46
Qualitätsabweichung Sandausbruch HandlingSchaden Raueit Ra Kernreparatur läuft,7,14,14,44,38,25,2,6,2,12,2,16,-1,16,-1,14,32,6
Formdruckabweichung Sandbindermangel vs HandlingSchaden Form Prüfbericht,5,11,11,38,34,12,7,5,7,13,7,13,13,111,10,-1,8,49
Qualitätsabweichung HandlingSchaden Lunker Dickenmaß,7,7,7,54,46,31,7,9,7,9,7,9,-1,54,-1,36,-1,24
Kernbruch Ursache Kernschale Verschleiß,3,3,17,88,76,55,8,1,5,1,5,1,8,74,8,58,6,42
Maßabweichung Kaltlauf Sandbindermangelmm vs Lunker±Lunkermm ¦ Normabweichung Wärmenachbehandlung eingeleitet,2,2,2,4,4,3,1,0,1,10,1,10,0,-1,0,39,0,27
Qualitätsabweichung Lunker Kaltlauf Porosität Verdacht Legierungsdrift Gießparameter optimiert,9,9,9,-1,-1,26,4,7,4,0,4,0,18,63,13,48,11,33
Spektralanalyse zeigt CuMangel Charge Kernreparatur läuft,1,12,12,20,16,13,5,2,10,9,10,18,53,104,35,80,29,59
Schmelzofen Holding Furnace TempAbweichung °C Kernreparatur läuft,6,6,18,77,66,48,2,6,0,6,0,6,38,40,26,30,20,21
Spektralanalyse zeigt TiMangel Charge,1,12,12,21,17,11,9,1,12,12,12,12,27,1,20,2,17,-1
Kernbruch ¦ Ursache HandlingSchaden ¦ Normabweichung,3,14,14,-1,78,57,5,4,5,4,19,4,59,34,41,24,34,11
Röntgenprüfung zeigt Sandausbruch in Zone HandlingSchaden Wärmenachbehandlung eingeleitet,5,5,5,7,6,5,9,7,2,7,17,7,46,49,31,40,25,28
Kernbruch Ursache Sandbindermangel Normabweichung Gießparameter optimiert,9,9,9,79,68,26,4,7,4,0,4,0,-1,63,-1,48,-1,33
Qualitätsabweichung HandlingSchaden Sandausbruch Raueit Ra Normabweichung Schleifnacharbeit notwendig,7,14,14,44,38,25,2,6,2,12,18,16,-1,16,-1,14,-1,6
Spektralanalyse zeigt CuMangel Charge Normabweichung,1,12,12,20,16,13,5,2,2,9,10,18,-1,104,-1,80,-1,59
Schmelzofen Schmelzofen TempAbweichung °C Chargenanalyse Mg Ti Gießparameter optimiert,6,6,6,56,-1,-1,2,2,0,2,0,2,-1,76,-1,45,-1,32
Legierungsabweichung Si Kernschale Verschleiß vs Soll HandlingSchaden,5,13,13,65,-1,37,8,0,13,10,13,10,7,79,7,54,5,39
Sandausbruch an Radträger Charge Chargenanalyse C Si,4,4,4,73,63,47,6,5,6,2,15,2,1,47,1,32,1,22
Härteprüfung Sandbindermangel Kernschale Verschleiß vs Kernschale Verschleiß Normabweichung,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Legierungsabweichung Ti Kernschale Verschleiß vs Soll Kaltlauf,4,13,13,59,51,36,3,9,3,9,3,18,4,114,4,83,3,61
Sandfeuchte Lunker außerhalb Toleranz nicht konform,0,0,0,27,23,18,2,9,0,9,0,9,50,35,33,28,26,19
Legierungsabweichung Mg Kaltlauf vs Soll Sandausbruch Chargenanalyse C Si Gießparameter optimiert,8,8,8,66,55,39,0,2,11,2,15,2,-1,48,-1,38,-1,-1
Formdruckabweichung Kaltlauf vs Sandbindermangel ¦ Form Schleifnacharbeit notwendig,5,11,11,38,34,12,7,5,7,13,7,13,-1,120,-1,85,-1,49
Spektralanalyse zeigt TiMangel ¦ Charge Gießparameter optimiert,9,9,8,48,-1,-1,4,2,4,14,4,14,-1,68,-1,45,-1,32
Qualitätsabweichung Kernschale Verschleiß Kernschale Verschleiß Dickenmaß,7,7,7,55,47,32,7,9,7,9,19,9,-1,57,-1,37,-1,25
Legierungsabweichung Cu Sandausbruch vs Soll Kernschale Verschleiß,4,13,13,57,48,33,8,9,13,9,13,9,5,102,5,78,4,57
Kernbruch Ursache Kernschale Verschleiß konform,3,3,17,88,76,55,5,1,10,1,10,1,-1,74,-1,58,-1,42
Schmelzofen Holding Furnace TempAbweichung °C,6,6,19,78,67,49,9,4,12,4,12,4,24,21,17,17,14,9
Bearbeitungsfehler Kaltlauf HandlingSchaden Teil Nacharbeit gemäß,7,14,14,76,64,45,5,0,5,10,19,10,59,81,41,61,34,40
Sandausbruch an Zylinderkopf Charge Verdacht Legierungsdrift,8,8,8,62,52,38,0,5,11,5,11,5,-1,99,-1,66,-1,48
Legierungsabweichung Ti Kernschale Verschleiß vs Soll Kernschale Verschleiß Nacharbeit gemäß,4,13,13,59,51,36,3,9,3,9,3,18,4,114,4,83,3,61
Röntgenprüfung zeigt Formversatz in Zone Sandbindermangel Normabweichung Schleifnacharbeit notwendig,9,11,15,53,45,29,2,4,0,0,16,0,-1,117,-1,60,-1,43
Spektralanalyse zeigt CuMangel Charge,1,12,12,22,18,11,9,3,12,3,12,3,28,8,21,8,17,3
Qualitätsabweichung Sandbindermangel Kernschale Verschleiß Raueit Ra,5,5,5,45,39,25,9,4,2,0,17,0,-1,85,-1,67,-1,44
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandbindermangel Prüfbericht Nacharbeit gemäß,5,5,5,31,28,7,7,1,7,13,17,13,37,88,28,64,22,46
Röntgenprüfung zeigt Gasporosität in Zone Sandausbruch Gießparameter optimiert,9,9,15,47,40,27,2,6,0,6,16,6,-1,17,-1,15,-1,7
Maßabweichung Kernschale Verschleiß HandlingSchadenmm vs Kaltlauf±Lunkermm,2,2,2,4,4,3,1,0,1,10,1,10,0,-1,0,39,0,27
Gasporosität an Zylinderkopf Charge Kernreparatur läuft,8,8,8,62,52,38,0,5,14,5,14,5,36,100,27,66,21,48
Qualitätsabweichung Lunker Sandausbruch ¦ Porosität ¦ Prüfbericht Gießparameter optimiert,9,9,9,-1,-1,26,4,7,4,0,4,0,-1,63,-1,48,-1,33
Kaltlauf an Zylinderkopf Charge Verdacht Legierungsdrift Nacharbeit gemäß,8,8,8,62,52,38,0,5,14,5,11,5,-1,99,-1,66,-1,48
Röntgenprüfung zeigt Sandausbruch in Zone Lunker Nacharbeit gemäß,5,5,5,7,6,5,9,7,9,7,17,7,-1,49,31,40,25,28
Bearbeitungsfehler Sandbindermangel Sandausbruch Teil Wärmenachbehandlung eingeleitet,5,5,16,90,72,51,7,5,7,5,7,15,-1,115,-1,76,-1,55
Oberflächenrauheit Lunker außerhalb Spezifikation Gießparameter optimiert,9,9,9,-1,-1,26,4,7,4,0,4,0,-1,63,-1,48,-1,33
Härteprüfung Kernschale Verschleiß HandlingSchaden vs HandlingSchaden,2,2,2,4,4,3,1,0,1,10,1,10,0,123,0,88,0,38
Röntgenprüfung zeigt Sandausbruch in Zone HandlingSchaden nicht konform,5,5,5,7,6,5,9,7,9,7,17,7,46,49,31,40,25,28
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandbindermangel Prüfbericht Wärmenachbehandlung eingeleitet,5,5,5,31,28,7,7,1,7,13,17,13,37,88,28,64,22,46
Ausschuss Materialfehler an Getriebegehäuse ¦ Ursache Sandfeuchte zu hoch ≥ ¦ Normabweichung Nacharbeit gemäß,3,3,17,81,70,-1,2,1,0,12,0,12,41,32,29,27,23,13
Oberflächenrauheit Lunker außerhalb Spezifikation,1,1,1,11,9,8,2,6,0,6,18,6,49,38,33,29,26,20
Röntgenprüfung zeigt Formversatz in Zone Kernschale Verschleiß Normabweichung,9,11,15,53,45,29,2,4,0,0,0,0,50,118,33,60,26,43
Härteprüfung Kernschale Verschleiß Sandausbruch vs Kernschale Verschleiß Prüfbericht Kernreparatur läuft,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Ausschuss Maßhaltigkeit an Radträger Ursache Legierungsabweichung Si Verdacht Formüberhitzung,3,3,3,87,75,54,0,5,14,5,0,5,-1,96,26,73,20,50
Bearbeitungsfehler Lunker Sandbindermangel Teil,5,5,16,91,72,51,9,5,2,5,2,15,-1,101,-1,75,-1,54
Bearbeitungsfehler Lunker Sandbindermangel Teil Nacharbeit gemäß,5,5,16,-1,-1,-1,9,9,2,9,17,9,-1,59,-1,25,-1,17
Kernbruch Ursache Sandbindermangel Schleifnacharbeit notwendig,5,5,16,90,72,51,5,5,2,5,2,15,-1,116,-1,76,-1,55
Formdruckabweichung Kaltlauf vs Sandausbruch Form Nacharbeit gemäß,5,11,11,39,35,12,7,5,7,13,19,13,-1,105,-1,81,-1,49
Spektralanalyse zeigt SiMangel Charge Prüfbericht,1,12,12,2,1,0,9,3,9,3,9,17,15,11,12,7,10,2
Ausschuss Funktionstest an Getriebegehäuse Ursache Legierungsabweichung Si Prüfbericht,3,3,17,28,24,-1,5,5,5,5,5,5,-1,90,-1,71,-1,50
Spektralanalyse zeigt TiMangel Charge,1,12,12,21,17,11,9,1,12,12,12,12,27,1,20,2,17,-1
Ausschuss Funktionstest an Getriebegehäuse Ursache Sandfeuchte zu hoch ≥ Chargenanalyse C Si Gießparameter optimiert,8,8,8,66,55,39,0,2,14,2,14,2,-1,48,-1,38,-1,-1
Kokillenriss an Getriebegehäuse Charge Normabweichung,8,8,8,64,54,41,3,6,11,6,11,16,-1,86,-1,70,-1,52
Oberflächenrauheit Sandausbruch außerhalb Spezifikation konform Wärmenachbehandlung eingeleitet,0,10,17,15,11,9,2,5,12,13,16,13,-1,75,-1,59,-1,-1
Ausschuss Oberflächenfehler an Zylinderkopf Ursache Lunker,3,3,17,89,77,56,9,4,2,4,18,4,29,24,22,18,-1,10
Röntgenprüfung zeigt Kaltlauf in Zone HandlingSchaden,1,10,15,35,25,19,7,7,5,7,19,19,-1,14,-1,12,-1,5
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max HandlingSchaden konform,1,1,1,12,5,4,5,0,10,10,10,10,51,82,34,62,28,40
Formdruckabweichung Sandbindermangel vs Kernschale Verschleiß Form,5,11,11,38,34,12,7,5,7,13,7,13,-1,120,-1,85,-1,49
Röntgenprüfung zeigt Gasporosität in Zone Kernschale Verschleiß Gießparameter optimiert,9,9,15,47,40,27,2,6,0,6,16,6,-1,17,-1,15,-1,7
Härteprüfung Sandausbruch Kaltlauf vs HandlingSchaden Wärmenachbehandlung eingeleitet,2,2,2,4,4,3,1,0,1,10,1,10,0,78,0,-1,0,38
Maßabweichung Lunker Kaltlaufmm vs Lunker±Kernschale Verschleißmm Chargenanalyse Mg Ti,4,4,4,58,50,35,6,1,6,1,6,1,2,72,2,56,2,35
Bearbeitungsfehler HandlingSchaden Kernschale Verschleiß Teil Normabweichung Wärmenachbehandlung eingeleitet,7,14,14,75,64,45,5,5,5,13,19,15,-1,67,-1,-1,-1,-1
Oberflächenrauheit Kernschale Verschleiß außerhalb Spezifikation,1,10,10,17,13,10,5,3,10,3,10,17,-1,7,-1,6,-1,2
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max HandlingSchaden,1,1,1,12,5,4,5,0,10,10,10,10,51,82,34,62,28,40
Oberflächenrauheit HandlingSchaden außerhalb Spezifikation Kernreparatur läuft,1,14,14,1,2,1,2,5,2,5,18,15,-1,113,-1,82,32,60
Ausschuss Funktionstest an Getriebegehäuse Ursache Kaltlauf,3,3,17,-1,-1,-1,2,4,2,4,18,4,65,24,43,18,32,10
Ausschuss Funktionstest an Zylinderkopf Ursache Gießtemp zu niedrig °C °C teilkonform,6,6,6,50,42,-1,4,1,12,13,12,17,26,9,19,9,16,-1
Härteprüfung HandlingSchaden Kernschale Verschleiß vs Sandausbruch Kernreparatur läuft,2,2,2,4,4,3,1,0,1,10,1,10,0,70,0,53,0,37
Maßabweichung Kaltlauf Lunkermm vs Lunker±Sandbindermangelmm Verdacht Legierungsdrift,2,2,2,4,4,3,1,0,1,10,1,10,0,41,0,33,0,23
Schmelzofen Holding Furnace TempAbweichung °C,6,6,19,78,67,49,9,4,12,4,12,4,24,21,17,17,14,9
Kernbruch Ursache Kernschale Verschleiß teilkonform,3,3,17,88,76,55,5,1,10,1,5,1,31,74,23,58,18,42
Spektralanalyse zeigt SiMangel Charge Kernreparatur läuft,1,12,12,2,1,0,9,3,9,3,17,17,46,10,31,7,25,2
Oberflächenrauheit HandlingSchaden außerhalb Spezifikation Normabweichung Gießparameter optimiert,9,9,9,-1,-1,26,4,7,4,0,4,0,-1,63,13,48,11,33
Oberflächenrauheit Lunker außerhalb Spezifikation Chargenanalyse C Si,4,4,4,73,63,47,6,5,6,2,15,2,1,47,1,32,1,22
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Lunker Gießparameter optimiert,9,9,9,24,20,-1,4,1,4,12,4,12,-1,31,-1,26,-1,13
Ausschuss Maßhaltigkeit an Getriebegehäuse Ursache Kaltlauf Gießparameter optimiert,9,9,9,-1,-1,26,4,7,4,0,4,0,-1,63,-1,48,-1,33
Oberflächenrauheit HandlingSchaden außerhalb Spezifikation Verdacht Legierungsdrift,1,14,14,1,2,1,7,5,5,5,19,15,-1,112,-1,82,-1,60
Legierungsabweichung Si Kernschale Verschleiß vs Soll Kaltlauf Gießparameter optimiert,9,9,9,19,15,-1,2,1,0,1,16,1,42,66,29,51,23,-1
Röntgenprüfung zeigt Kaltlauf in Zone Sandbindermangel Nacharbeit gemäß,5,10,15,43,25,19,7,4,2,4,17,7,-1,23,-1,16,-1,8
Schmelzofen Schmelzofen TempAbweichung °C Chargenanalyse Mg Ti Kernreparatur läuft,6,6,6,56,-1,-1,0,2,11,2,11,2,-1,76,-1,45,-1,32
Bearbeitungsfehler Sandausbruch Sandausbruch ¦ Teil,5,5,16,91,72,51,2,5,0,5,18,15,-1,101,-1,75,-1,54
Röntgenprüfung zeigt Lunker in Zone Kernschale Verschleiß Chargenanalyse Mg Ti,4,4,4,58,50,35,6,1,6,1,6,1,2,-1,2,50,2,36
Kaltlauf an Radträger Charge Verdacht Legierungsdrift Schleifnacharbeit notwendig,8,8,8,63,53,40,0,6,11,6,11,16,22,94,16,69,-1,51
Spektralanalyse zeigt CuMangel Charge Schleifnacharbeit notwendig,1,12,12,20,16,13,5,2,10,9,10,18,-1,104,-1,80,-1,59
Dichtheitsprüfung Fehler Sandbindermangel mbarmin vs max Sandbindermangel,5,5,5,31,28,7,7,1,7,13,17,13,-1,88,-1,64,-1,46
Qualitätsabweichung HandlingSchaden Sandausbruch Raueit Ra Nacharbeit gemäß,7,14,14,44,38,25,9,6,2,12,2,16,56,16,38,14,30,6
Schmelzofen Schmelzofen TempAbweichung °C,6,6,6,84,61,44,9,8,9,8,17,8,20,4,15,0,13,0
Formdruckabweichung HandlingSchaden vs Kaltlauf Form teilkonform,1,11,11,25,21,16,7,9,5,9,19,18,-1,107,-1,74,-1,53
Schmelzofen Holding Furnace TempAbweichung °C Verdacht Sandfeuchteabweichung,6,6,18,-1,-1,-1,2,6,2,6,18,6,64,40,43,30,32,21
Härteprüfung Sandausbruch Kernschale Verschleiß vs Lunker,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max HandlingSchaden Verdacht Legierungsdrift,1,1,1,12,5,4,7,0,5,10,19,10,-1,82,-1,62,-1,40
Sandfeuchte Kaltlauf außerhalb Toleranz teilkonform,0,0,0,16,12,-1,2,2,0,14,0,14,54,36,36,31,27,18
Qualitätsabweichung Kernschale Verschleiß Sandbindermangel Porosität Normabweichung,7,7,7,49,41,28,9,9,2,9,2,18,-1,103,-1,79,-1,58
Kernbruch Ursache HandlingSchaden Verdacht Sandfeuchteabweichung,7,14,14,74,65,45,7,5,7,5,19,5,48,69,32,52,-1,-1
Ausschuss Maßhaltigkeit an Getriebegehäuse ¦ Ursache Legierungsabweichung Si ¦ konform Kernreparatur läuft,3,3,17,28,24,-1,0,5,14,5,0,5,-1,90,-1,71,-1,50
Qualitätsabweichung Kaltlauf Sandbindermangel Dickenmaß Prüfbericht,7,7,7,55,47,32,7,9,7,9,7,9,-1,56,-1,37,-1,25
Bearbeitungsfehler Sandausbruch Kaltlauf Teil Verdacht Formüberhitzung,5,5,16,90,72,51,7,5,7,5,7,15,-1,115,-1,76,-1,55
Sandfeuchte Sandausbruch außerhalb Toleranz Nacharbeit gemäß,0,0,0,41,37,24,2,3,0,3,16,17,-1,25,-1,20,-1,14
Qualitätsabweichung Kaltlauf Sandbindermangel Raueit Ra Normabweichung,5,5,5,45,39,25,9,4,9,0,17,0,37,85,28,67,22,44
Härteprüfung Sandausbruch HandlingSchaden vs HandlingSchaden Chargenanalyse C Si,4,4,4,72,62,46,3,1,3,12,3,1,4,53,4,44,3,30
Spektralanalyse zeigt TiMangel Charge nicht konform,1,12,12,37,33,22,5,5,2,2,2,2,61,44,39,32,31,22
Formdruckabweichung Kaltlauf vs Kaltlauf ¦ Form ¦ Chargenanalyse Mg Ti Nacharbeit gemäß,4,4,4,58,50,35,6,1,6,1,6,1,2,71,2,55,2,35
Kernbruch Ursache Sandbindermangel Wärmenachbehandlung eingeleitet,5,5,16,90,72,51,7,5,7,5,7,15,-1,115,-1,76,-1,55
Sandausbruch an Radträger Charge teilkonform Gießparameter optimiert,8,8,8,-1,-1,-1,0,6,14,6,14,16,-1,83,-1,63,-1,45
Härteprüfung Lunker Lunker vs Sandausbruch Verdacht Sandfeuchteabweichung Kernreparatur läuft,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Kernbruch Ursache Kernschale Verschleiß Verdacht Sandfeuchteabweichung Wärmenachbehandlung eingeleitet,5,5,16,90,72,51,7,5,5,5,19,15,-1,115,-1,76,-1,55
Spektralanalyse zeigt TiMangel Charge Verdacht Legierungsdrift Nacharbeit gemäß,1,12,12,37,33,22,5,0,10,6,5,6,51,80,34,54,28,39
Dichtheitsprüfung Fehler Kaltlauf mbarmin vs max Sandbindermangel Normabweichung,5,5,5,31,28,7,7,1,7,13,17,13,37,88,28,64,22,46
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Kaltlauf Normabweichung,1,1,1,8,5,4,5,6,5,1,19,16,59,65,41,-1,34,-1
Spektralanalyse zeigt MgMangel Charge Normabweichung,1,12,12,30,27,15,2,1,2,13,18,1,64,51,43,42,32,26
Kernbruch Ursache Kernschale Verschleiß Prüfbericht,3,3,17,88,76,55,5,1,10,1,5,1,-1,74,-1,58,-1,42
Schmelzofen Holding Furnace TempAbweichung °C,6,6,19,78,67,49,9,4,12,4,12,4,24,21,17,17,14,9
Bearbeitungsfehler HandlingSchaden HandlingSchaden Teil Prüfbericht,7,14,14,76,64,45,7,0,5,10,19,10,-1,81,-1,61,-1,40
Härteprüfung Kernschale Verschleiß HandlingSchaden vs HandlingSchaden Nacharbeit gemäß,2,2,2,4,4,3,1,0,1,10,1,10,0,70,0,53,0,37
Sandfeuchte Kaltlauf außerhalb Toleranz ¦ Chargenanalyse Mg Ti,4,4,4,58,50,35,6,1,6,1,6,1,2,98,2,50,2,36
Legierungsabweichung Si Lunker vs Soll HandlingSchaden Nacharbeit gemäß,5,13,13,65,-1,37,8,0,13,10,13,10,7,79,7,54,5,39
Spektralanalyse zeigt CuMangel Charge,1,12,12,22,18,11,9,3,12,3,12,3,28,8,21,8,17,3
Sandfeuchte Lunker außerhalb Toleranz Chargenanalyse C Si,4,4,4,73,63,47,6,5,6,2,15,2,1,46,1,32,1,22
Legierungsabweichung Cu HandlingSchaden vs Soll Kernschale Verschleiß Chargenanalyse C Si,4,4,4,-1,-1,-1,3,1,3,12,3,1,4,53,4,44,3,30
Kernbruch Ursache Kernschale Verschleiß Nacharbeit gemäß,3,3,17,-1,-1,-1,5,9,10,9,10,9,51,-1,34,25,28,17
Bearbeitungsfehler Sandausbruch Lunker Teil Chargenanalyse Mg Ti,4,4,4,58,50,35,6,1,6,1,6,1,2,98,2,50,2,36
Qualitätsabweichung Lunker Sandbindermangel Dickenmaß,7,7,7,55,47,32,7,9,7,9,17,9,37,56,28,37,22,25
Härteprüfung Sandausbruch Sandausbruch vs Kernschale Verschleiß Nacharbeit gemäß,2,2,2,4,4,3,1,0,1,10,1,10,0,70,0,53,0,37
Härteprüfung HandlingSchaden HandlingSchaden vs Lunker,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Schmelzofen Schmelzofen TempAbweichung °C,6,6,6,83,61,44,9,8,9,8,17,8,21,5,15,0,13,0
Kernbruch Ursache HandlingSchaden nicht konform,3,14,14,92,78,57,5,4,2,4,2,4,-1,33,39,24,31,11
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Kernschale Verschleiß Prüfbericht Nacharbeit gemäß,1,1,1,12,5,4,5,0,5,10,10,10,53,82,35,62,29,40
Sandfeuchte Sandausbruch außerhalb Toleranz,0,0,0,41,37,24,4,3,12,3,16,17,32,25,24,20,-1,14
Kaltlauf an Getriebegehäuse Charge teilkonform,8,8,8,64,54,41,0,6,11,6,11,16,22,86,16,70,-1,52
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Verdacht Sandfeuchteabweichung,0,10,10,15,11,9,2,5,2,13,18,13,63,75,42,59,32,-1
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Kernschale Verschleiß,5,5,5,32,29,7,2,1,2,13,18,13,65,84,43,65,32,47
Maßabweichung HandlingSchaden Kernschale Verschleißmm vs Sandbindermangel±Sandbindermangelmm Nacharbeit gemäß,2,2,2,4,4,3,1,0,1,10,1,10,0,128,0,39,0,27
Bearbeitungsfehler HandlingSchaden Sandbindermangel Teil,7,14,14,74,65,45,7,5,7,5,17,5,-1,69,-1,52,-1,-1
Kernbruch Ursache HandlingSchaden,3,3,3,92,78,57,9,4,2,4,17,4,43,28,30,23,24,11
Spektralanalyse zeigt TiMangel Charge Gießparameter optimiert,9,9,8,48,-1,-1,4,2,4,14,4,14,17,68,14,45,12,32
Qualitätsabweichung HandlingSchaden Lunker Porosität Verdacht Formüberhitzung,7,7,7,54,46,31,7,9,5,9,19,9,-1,55,-1,36,-1,24
Formdruckabweichung HandlingSchaden vs HandlingSchaden Form Wärmenachbehandlung eingeleitet,1,11,11,25,21,16,7,9,8,9,8,18,-1,107,-1,74,-1,53
Dichtheitsprüfung Fehler Kaltlauf mbarmin vs max Sandausbruch Kernreparatur läuft,5,5,5,32,29,7,5,1,2,13,2,13,62,84,-1,65,32,47
Legierungsabweichung Cu HandlingSchaden vs Soll Kaltlauf teilkonform,4,13,13,57,48,33,3,9,13,9,13,9,5,102,5,78,4,57
Schmelzofen Schmelzofen TempAbweichung °C Chargenanalyse C Si,6,6,6,70,59,42,2,9,0,9,18,9,55,-1,37,-1,27,-1
Legierungsabweichung Cu HandlingSchaden vs Soll HandlingSchaden,4,13,13,57,48,33,8,9,13,9,13,9,5,102,5,78,4,57
Ausschuss Oberflächenfehler an Zylinderkopf Ursache Kaltlauf Nacharbeit gemäß,3,3,17,89,77,56,9,4,2,4,2,4,56,24,38,18,30,10
Schmelzofen Schmelzofen TempAbweichung °C,6,6,6,83,61,44,9,8,9,8,17,8,21,5,15,0,13,0
Spektralanalyse zeigt MgMangel Charge,1,12,12,29,26,15,4,3,12,11,12,11,26,2,19,3,16,1
Oberflächenrauheit Sandausbruch außerhalb Spezifikation,0,10,17,15,11,9,4,6,12,12,4,16,19,15,13,13,11,6
Sandfeuchte Sandausbruch außerhalb Toleranz,0,0,0,41,37,24,4,3,12,3,16,17,32,25,24,20,-1,14
Oberflächenrauheit Sandausbruch außerhalb Spezifikation teilkonform,0,10,17,15,11,9,4,6,12,12,4,16,-1,15,-1,13,-1,6
Röntgenprüfung zeigt Lunker in Zone Kernschale Verschleiß Normabweichung Schleifnacharbeit notwendig,1,11,1,23,19,14,5,5,2,2,10,18,-1,27,-1,22,-1,16
Formdruckabweichung Kernschale Verschleiß vs Lunker Form Normabweichung Nacharbeit gemäß,1,11,11,25,21,16,5,9,10,9,10,18,53,107,35,74,29,53
Qualitätsabweichung Lunker Sandausbruch Raueit Ra Chargenanalyse Mg Ti Wärmenachbehandlung eingeleitet,4,4,4,58,50,35,6,1,6,1,6,1,2,98,2,50,2,36
Bearbeitungsfehler Sandbindermangel Sandausbruch Teil Verdacht Formüberhitzung,5,5,16,90,72,51,7,5,7,5,7,15,-1,115,-1,76,-1,55
Spektralanalyse zeigt TiMangel Charge,1,12,12,21,17,11,9,1,12,12,12,12,27,1,20,2,17,-1
Bearbeitungsfehler Kaltlauf HandlingSchaden Teil,7,14,14,76,64,45,5,0,5,10,19,10,59,81,41,61,34,40
Legierungsabweichung Si Lunker vs Soll Sandbindermangel Verdacht Sandfeuchteabweichung Wärmenachbehandlung eingeleitet,5,13,13,68,57,37,8,9,8,9,8,18,6,122,6,87,5,62
