Zeitstempel,Teilenummer,Kategorie,Kommentar,Schweregrad,Charge,Werk
2024-09-26T19:09:35,GX-37017,gussfehler,"Qualitätsabweichung Kernschale Verschleiß: Kernschale Verschleiß | Porosität: 1.5 mm² | Chargenanalyse: Mg:0.4%, Ti:0.1% | Wärmenachbehandlung eingeleitet",1.0,CH-AXFX-7079,Gießerei Leipzig
2024-04-04T01:24:04,GX-05432,gussfehler,Kokillenriss an Radträger (GX-05432) | Charge CH-FjIL-0434 | Prüfbericht: PRF-62913 | Wärmenachbehandlung eingeleitet,1.0,CH-FjIL-0434,Gießerei Wolfsburg
2024-09-14T01:32:28,GX-55370,schmelzprozess,Legierungsabweichung Cu: Sandbindermangel% vs. Soll Kernschale Verschleiß% | IATF-Konformität: teilkonform,2.0,CH-fHZA-7869,Gießerei Wolfsburg
2024-07-07T23:32:29,GX-53503,formprozess,Kernbruch K-1177 | Ursache: Handling-Schaden,1.0,CH-yvQM-8748,Gießerei Leipzig
2025-01-23T06:55:28,GX-31434,endpruefung,"Dichtheitsprüfung Fehler: Kaltlauf mbar/min vs. max Sandausbruch ¦ Chargenanalyse: C:3.2%, Si:2.1% | Schleifnacharbeit notwendig",3.0,CH-MGWs-2595,Gießerei Leipzig
2024-11-15T00:40:03,GX-55804,gussfehler,Lunker an Getriebegehäuse (GX-55804) | Charge CH-FOve-8320 | Nacharbeit gemäß VDA 6.3,1.0,CH-FOve-8320,Gießerei Leipzig
2024-04-30T08:37:23,GX-39310,gussfehler,Ausschuss Materialfehler an Zylinderkopf | Ursache: Sandfeuchte zu hoch (≥3.5%) | Prüfbericht: PRF-93731,2.0,CH-nMLe-6769,Gießerei Stuttgart
2024-05-10T11:27:30,GX-17673,nachbearbeitung,"Maßabweichung Handling-Schaden: Kernschale Verschleißmm vs. Sandbindermangel±Sandausbruchmm ¦ Chargenanalyse: C:3.2%, Si:2.1% | Kernreparatur läuft",1.0,CH-PFGq-4932,Gießerei Stuttgart
2024-05-16T16:18:48,GX-99737,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 714°C | Kernreparatur läuft,2.0,CH-iCaX-6822,Gießerei Wolfsburg
2024-07-06T22:52:15,GX-68063,formprozess,Formdruckabweichung Sandausbruch bar vs. Kaltlauf bar ¦ Form FORM-kc45 ¦ IATF-Konformität: konform,1.0,CH-wSWS-2000,Gießerei Stuttgart
2024-05-05T10:52:16,GX-14778,schmelzprozess,Legierungsabweichung Mg: Kaltlauf% vs. Soll Handling-Schaden% | Wärmenachbehandlung eingeleitet,2.0,CH-aXlc-0133,Gießerei Leipzig
2024-08-31T03:33:08,GX-89928,schmelzprozess,Spektralanalyse zeigt Cu-Mangel | Charge CH-AmZP-8862 | Prüfbericht: PRF-41136,1.0,CH-AmZP-8862,Gießerei Wolfsburg
2025-02-27T19:56:06,GX-03492,nachbearbeitung,Bearbeitungsfehler Sandbindermangel: Sandbindermangel | Teil GX-03492 (Verdacht: Formüberhitzung) | Schleifnacharbeit notwendig,1.0,CH-ZxNW-6508,Gießerei Leipzig
2024-11-11T15:09:54,GX-71269,nachbearbeitung,Maßabweichung Sandausbruch: Lunkermm vs. Sandausbruch±Lunkermm | Schleifnacharbeit notwendig,2.0,CH-cUQF-2755,Gießerei Leipzig
2024-06-08T23:52:17,GX-27605,gussfehler,Qualitätsabweichung Lunker: Kernschale Verschleiß | Dickenmaß: 92.3 mm | IATF-Konformität: teilkonform,2.0,CH-yCXk-6857,Gießerei Stuttgart
2024-07-10T00:52:02,GX-29729,nachbearbeitung,Bearbeitungsfehler Handling-Schaden: Kaltlauf | Teil GX-29729 | IATF-Konformität: konform,1.0,UNBEKANNT,Gießerei Wolfsburg
2024-11-30T03:22:45,GX-10320,nachbearbeitung,Bearbeitungsfehler Kernschale Verschleiß: Kaltlauf | Teil GX-10320,2.0,CH-qrqM-4532,Gießerei Leipzig
2024-06-15T19:39:08,GX-76888,nachbearbeitung,Bearbeitungsfehler Lunker: Kernschale Verschleiß // Teil GX-76888,1.0,CH-IyFy-2159,Gießerei Wolfsburg
2024-10-13T20:35:43,GX-54726,nachbearbeitung,Maßabweichung Sandbindermangel: Sandausbruchmm vs. Lunker±Kaltlaufmm,1.0,CH-oLht-0367,Gießerei Stuttgart
2024-07-03T23:34:28,GX-35821,schmelzprozess,Spektralanalyse zeigt Cu-Mangel | Charge CH-CpOA-3338,1.0,CH-CpOA-3338,Gießerei Stuttgart
2024-05-27T15:45:05,GX-65740,formprozess,Sandfeuchte Kernschale Verschleiß% außerhalb Toleranz (2.8-3.2%),2.0,CH-HBXR-3636,Gießerei Stuttgart
2024-08-09T01:54:41,GX-99181,nachbearbeitung,"Bearbeitungsfehler Sandbindermangel: Kaltlauf | Teil GX-99181 | Chargenanalyse: C:3.2%, Si:2.1%",1.0,CH-eKvu-2513,Gießerei Wolfsburg
2024-09-21T23:53:35,GX-33440,nachbearbeitung,Bearbeitungsfehler Handling-Schaden: Sandbindermangel | Teil GX-33440 | Kernreparatur läuft,3.0,CH-vUFz-2930,Gießerei Leipzig
2024-12-11T16:11:24,GX-98548,schmelzprozess,,2.0,CH-reia-9185,Gießerei Stuttgart
2024-12-04T10:56:36,GX-23446,,,,CH-lAua-0419,Gießerei Stuttgart
2024-04-08T15:16:41,GX-29075,nachbearbeitung,Oberflächenrauheit Kaltlauf µm außerhalb Spezifikation,2.0,CH-UiGa-5186,Gießerei Wolfsburg
2024-07-09T01:54:08,GX-22381,gussfehler,Qualitätsabweichung Sandausbruch: Kernschale Verschleiß | Porosität: 0.9 mm² | Nacharbeit gemäß VDA 6.3,2.0,CH-TTAp-2574,Gießerei Wolfsburg
2024-09-03T23:23:25,GX-85976,endpruefung,Dichtheitsprüfung Fehler: Kaltlauf mbar/min vs. max Handling-Schaden | Prüfbericht: PRF-76937,2.0,CH-xCGM-8418,Gießerei Stuttgart
2024-07-27T14:51:08,GX-69770,endpruefung,Röntgenprüfung zeigt Lunker in Zone Kernschale Verschleiß,1.0,CH-otlK-0859,Gießerei Wolfsburg
2024-11-19T14:47:22,GX-84878,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 712°C | Wärmenachbehandlung eingeleitet,1.0,CH-uzKF-2096,Gießerei Wolfsburg
2025-01-29T13:25:41,GX-94127,formprozess,Sandfeuchte Handling-Schaden% außerhalb Toleranz (2.8-3.2%),1.0,CH-wHvs-6185,Gießerei Wolfsburg
2024-10-04T10:59:44,GX-30378,schmelzprozess,Spektralanalyse zeigt Ti-Mangel | Charge CH-wJRB-5457 | Prüfbericht: PRF-67687,2.0,CH-wJRB-5457,Gießerei Leipzig
2024-11-25T01:42:25,GX-51262,endpruefung,Röntgenprüfung zeigt Formversatz in Zone Kernschale Verschleiß | Nacharbeit gemäß VDA 6.3,1.0,CH-qiif-9977,Gießerei Wolfsburg
2024-10-06T15:55:46,GX-42111,nachbearbeitung,Bearbeitungsfehler Kernschale Verschleiß: Sandbindermangel ¦ Teil GX-42111,1.0,CH-gHAc-1089,Gießerei Stuttgart
2024-12-05T00:23:00,GX-26265,gussfehler,Ausschuss Maßhaltigkeit an Getriebegehäuse | Ursache: Handling-Schaden,1.0,CH-RroF-9477,Gießerei Leipzig
2024-10-23T13:42:01,GX-94766,endpruefung,Dichtheitsprüfung Fehler: Lunker mbar/min vs. max Sandbindermangel,2.0,CH-zMBz-6461,Gießerei Stuttgart
2024-05-25T16:47:26,GX-47616,nachbearbeitung,Bearbeitungsfehler Kernschale Verschleiß: Sandausbruch | Teil GX-47616 (Verdacht: Sandfeuchteabweichung),2.0,CH-AQRO-1269,Gießerei Stuttgart
2025-01-10T10:07:14,GX-68561,gussfehler,Qualitätsabweichung Kaltlauf: Kernschale Verschleiß ¦ Dickenmaß: 60.4 mm ¦ Prüfbericht: PRF-90548 | Kernreparatur läuft,1.0,CH-MMHR-6582,Gießerei Leipzig
2024-12-21T14:34:00,GX-92257,formprozess,Formdruckabweichung Sandbindermangel bar vs. Lunker bar | Form FORM-KU42 | Nacharbeit gemäß VDA 6.3,1.0,CH-TPnm-4510,Gießerei Stuttgart
2024-05-05T14:02:33,GX-00350,gussfehler,Qualitätsabweichung Kernschale Verschleiß: Sandausbruch | Dickenmaß: 146.1 mm | Gießparameter optimiert,2.0,CH-CkRP-7318,Gießerei Wolfsburg
2024-10-10T09:23:54,GX-34421,gussfehler,Sandausbruch an Radträger (GX-34421) | Charge CH-buXJ-5688 | Nacharbeit gemäß VDA 6.3,2.0,CH-buXJ-5688,Gießerei Wolfsburg
2025-02-15T13:07:35,GX-61915,formprozess,Kernbruch K-1460 | Ursache: Handling-Schaden | Normabweichung: DIN 1681 | Schleifnacharbeit notwendig,1.0,CH-WYqv-4324,Gießerei Stuttgart
2024-07-18T22:08:16,GX-24672,,,,CH-wpzw-3361,Gießerei Stuttgart
2024-05-25T05:34:13,GX-72980,formprozess,Kernbruch K-1098 | Ursache: Kernschale Verschleiß,1.0,CH-zRNr-5094,Gießerei Leipzig
2025-02-26T22:28:22,GX-55669,,,,CH-tgix-6386,Gießerei Leipzig
2024-07-12T20:12:09,GX-45704,schmelzprozess,Legierungsabweichung Ti: Sandbindermangel% vs. Soll Sandausbruch% | Normabweichung: VDA 6.3 | Kernreparatur läuft,3.0,CH-KUXq-6469,Gießerei Leipzig
2024-07-07T00:35:05,GX-32245,endpruefung,,1.0,CH-eVRV-7510,Gießerei Stuttgart
2024-12-14T15:43:25,GX-47030,gussfehler,Gasporosität an Getriebegehäuse (GX-47030) | Charge CH-vfyE-6859 | Kernreparatur läuft,1.0,CH-vfyE-6859,Gießerei Leipzig
2024-08-03T20:03:58,GX-76457,schmelzprozess,Legierungsabweichung Mg: Handling-Schaden% vs. Soll Kernschale Verschleiß% | Prüfbericht: PRF-16310 | Kernreparatur läuft,1.0,CH-FlwO-7380,Gießerei Wolfsburg
2024-03-21T16:39:27,GX-45401,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 652°C,1.0,CH-cvqo-6633,Gießerei Wolfsburg
2024-07-30T17:49:05,GX-85403,formprozess,Kernbruch K-1576 | Ursache: Handling-Schaden | IATF-Konformität: konform | Kernreparatur läuft,2.0,CH-ANOD-2322,Gießerei Stuttgart
2024-06-01T07:34:37,GX-88121,formprozess,Kernbruch K-1479 | Ursache: Sandbindermangel | Prüfbericht: PRF-29283,1.0,UNBEKANNT,Gießerei Leipzig
2024-11-28T03:45:13,GX-20505,endpruefung,Dichtheitsprüfung Fehler: Kernschale Verschleiß mbar/min vs. max Kernschale Verschleiß // Prüfbericht: PRF-91060 | Gießparameter optimiert,3.0,CH-rQop-3187,Gießerei Leipzig
2024-05-01T07:59:33,GX-12089,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 687°C | Kernreparatur läuft,1.0,CH-IvnY-2656,Gießerei Stuttgart
2024-04-15T19:12:41,GX-67967,nachbearbeitung,Maßabweichung Sandbindermangel: Handling-Schadenmm vs. Kaltlauf±Kaltlaufmm; Normabweichung: ISO 8062,2.0,CH-HRtM-2278,Gießerei Leipzig
2025-01-24T13:17:19,GX-60137,nachbearbeitung,Oberflächenrauheit Sandbindermangel µm außerhalb Spezifikation,2.0,CH-lTep-1481,Gießerei Leipzig
2024-06-07T17:55:05,GX-71951,formprozess,Sandfeuchte Kernschale Verschleiß% außerhalb Toleranz (2.8-3.2%) | Normabweichung: ISO 8062 | Gießparameter optimiert,1.0,CH-Baup-1653,Gießerei Wolfsburg
2025-02-11T14:05:03,GX-80349,nachbearbeitung,Bearbeitungsfehler Kaltlauf: Kernschale Verschleiß | Teil GX-80349 | Normabweichung: ISO 8062,1.0,CH-erCM-6358,Gießerei Stuttgart
2024-07-26T11:38:57,GX-40595,formprozess,Sandfeuchte Lunker% außerhalb Toleranz (2.8-3.2%) | Normabweichung: DIN 1681,1.0,CH-bcKe-3866,Gießerei Wolfsburg
2024-12-02T04:31:31,GX-99198,nachbearbeitung,Maßabweichung Lunker: Sandausbruchmm vs. Kaltlauf±Kernschale Verschleißmm | Nacharbeit gemäß VDA 6.3,1.0,CH-szIV-2514,Gießerei Wolfsburg
2024-03-17T22:21:20,GX-56781,gussfehler,"Qualitätsabweichung Kaltlauf: Handling-Schaden | Porosität: 3.0 mm² | Chargenanalyse: Mg:0.4%, Ti:0.1% | Wärmenachbehandlung eingeleitet",2.0,CH-LIrC-3588,Gießerei Wolfsburg
2024-03-14T15:59:22,GX-61839,endpruefung,"Dichtheitsprüfung Fehler: Kaltlauf mbar/min vs. max Kaltlauf | Chargenanalyse: Mg:0.4%, Ti:0.1% | Kernreparatur läuft",2.0,CH-cRaJ-0160,Gießerei Stuttgart
2025-02-18T20:10:10,GX-30170,gussfehler,Ausschuss Oberflächenfehler an Getriebegehäuse | Ursache: Sandausbruch,1.0,CH-zpBE-5327,Gießerei Wolfsburg
2024-12-13T01:03:50,GX-50966,formprozess,Kernbruch K-1767 | Ursache: Sandbindermangel,2.0,CH-NPFx-3850,Gießerei Leipzig
2024-12-25T22:58:08,GX-17343,endpruefung,Röntgenprüfung zeigt Formversatz in Zone Sandbindermangel | Prüfbericht: PRF-96756,1.0,CH-vxvH-8682,Gießerei Leipzig
2024-07-06T07:35:44,GX-27141,gussfehler,Ausschuss Oberflächenfehler an Zylinderkopf | Ursache: Gießtemp. zu niedrig (650°C < 720°C) | Normabweichung: VDA 6.3,1.0,CH-etag-8383,Gießerei Leipzig
2024-09-14T09:42:26,GX-02170,formprozess,Kernbruch K-1147 | Ursache: Sandbindermangel,2.0,CH-IOor-7396,Gießerei Wolfsburg
2024-10-19T15:55:25,GX-85607,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 707°C | Schleifnacharbeit notwendig,2.0,CH-vegU-8554,Gießerei Wolfsburg
2025-02-23T12:10:24,GX-31600,nachbearbeitung,Bearbeitungsfehler Handling-Schaden: Sandbindermangel | Teil GX-31600,2.0,CH-QOvr-1775,Gießerei Wolfsburg
2024-06-09T01:30:07,GX-92203,gussfehler,Ausschuss Oberflächenfehler an Radträger ¦ Ursache: Sandfeuchte zu hoch (≥3.5%) ¦ Prüfbericht: PRF-57705,1.0,CH-zXyS-1122,Gießerei Wolfsburg
2024-07-02T19:53:09,GX-42906,schmelzprozess,Spektralanalyse zeigt Si-Mangel | Charge CH-tJIo-7934 | Schleifnacharbeit notwendig,2.0,CH-tJIo-7934,Gießerei Stuttgart
2024-06-16T21:08:41,GX-27644,gussfehler,"Ausschuss Maßhaltigkeit an Zylinderkopf | Ursache: Gießtemp. zu niedrig (650°C < 720°C) | Chargenanalyse: Mg:0.4%, Ti:0.1% | Kernreparatur läuft",1.0,CH-Anmb-2951,Gießerei Stuttgart
2024-10-16T11:28:19,GX-88448,,,,CH-jCRJ-6480,Gießerei Wolfsburg
2024-10-22T12:44:50,GX-30375,gussfehler,Ausschuss Funktionstest an Zylinderkopf | Ursache: Kernschale Verschleiß | Schleifnacharbeit notwendig,1.0,CH-cvOz-6429,Gießerei Wolfsburg
2024-11-03T17:16:20,GX-01428,schmelzprozess,Legierungsabweichung Ti: Lunker% vs. Soll Lunker%,2.0,CH-jLJa-7992,Gießerei Wolfsburg
2024-05-29T00:05:18,GX-58912,gussfehler,Lunker an Radträger (GX-58912) // Charge CH-cFff-4494 // IATF-Konformität: nicht konform,1.0,CH-cFff-4494,Gießerei Wolfsburg
2024-06-16T22:36:41,GX-82363,gussfehler,Ausschuss Materialfehler an Zylinderkopf | Ursache: Lunker | Kernreparatur läuft,1.0,CH-nond-0771,Gießerei Leipzig
2024-11-07T21:36:28,GX-31221,nachbearbeitung,Bearbeitungsfehler Kaltlauf: Sandausbruch | Teil GX-31221,1.0,CH-lUgV-1074,Gießerei Stuttgart
2025-03-01T03:40:27,GX-57307,nachbearbeitung,"Maßabweichung Handling-Schaden: Sandausbruchmm vs. Kernschale Verschleiß±Sandausbruchmm | Chargenanalyse: C:3.2%, Si:2.1%",1.0,CH-Mulb-9553,Gießerei Wolfsburg
2024-09-30T07:59:15,GX-92603,endpruefung,Röntgenprüfung zeigt Sandausbruch in Zone Sandbindermangel | Schleifnacharbeit notwendig,1.0,CH-YgSG-4430,Gießerei Stuttgart
2024-07-01T17:10:55,GX-55866,schmelzprozess,Legierungsabweichung Mg: Lunker% vs. Soll Kaltlauf%,3.0,CH-IlQi-9435,Gießerei Wolfsburg
2024-06-18T05:22:45,GX-35770,nachbearbeitung,Oberflächenrauheit Kernschale Verschleiß µm außerhalb Spezifikation | Prüfbericht: PRF-49453,1.0,CH-NkGf-5872,Gießerei Stuttgart
2025-03-03T05:43:14,GX-90455,formprozess,Sandfeuchte Lunker% außerhalb Toleranz (2.8-3.2%) | Prüfbericht: PRF-38732,1.0,CH-iCSK-9938,Gießerei Stuttgart
2025-02-20T12:51:56,GX-59675,formprozess,Kernbruch K-1178 | Ursache: Handling-Schaden,1.0,CH-VCsu-3536,Gießerei Stuttgart
2024-05-09T03:47:05,GX-87197,schmelzprozess,Spektralanalyse zeigt Ti-Mangel | Charge CH-vGlA-5441 | Kernreparatur läuft,2.0,CH-vGlA-5441,Gießerei Leipzig
2024-03-26T18:44:43,GX-46466,nachbearbeitung,Maßabweichung Lunker: Kaltlaufmm vs. Sandausbruch±Sandausbruchmm,3.0,CH-icmS-0554,Gießerei Wolfsburg
2024-08-21T00:20:26,GX-91847,nachbearbeitung,Maßabweichung Kaltlauf: Lunkermm vs. Handling-Schaden±Kernschale Verschleißmm | IATF-Konformität: nicht konform,3.0,CH-zjGW-6311,Gießerei Stuttgart
2024-07-28T02:17:38,GX-10253,nachbearbeitung,Oberflächenrauheit Sandausbruch µm außerhalb Spezifikation | Wärmenachbehandlung eingeleitet,1.0,CH-PRxM-9456,Gießerei Leipzig
2024-12-02T00:53:26,GX-78411,endpruefung,,2.0,CH-GQjJ-4246,Gießerei Stuttgart
2024-10-19T19:18:57,GX-02782,nachbearbeitung,Bearbeitungsfehler Sandausbruch: Sandbindermangel | Teil GX-02782 | Nacharbeit gemäß VDA 6.3,1.0,CH-korr-2736,Gießerei Leipzig
2024-12-12T21:14:17,GX-21037,endpruefung,Härteprüfung Sandausbruch: Kaltlauf HV vs. Kernschale Verschleiß | Prüfbericht: PRF-19707,2.0,CH-TiOL-2002,Gießerei Wolfsburg
2024-05-03T02:54:03,GX-99017,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 672°C // Normabweichung: ISO 8062,2.0,CH-cDrL-3425,Gießerei Leipzig
2024-10-12T17:25:07,GX-07304,endpruefung,Härteprüfung Sandbindermangel: Kernschale Verschleiß HV vs. Kaltlauf | Gießparameter optimiert,1.0,CH-yVDh-4991,Gießerei Stuttgart
2024-03-22T18:17:55,GX-52152,endpruefung,Röntgenprüfung zeigt Kokillenriss in Zone Sandbindermangel | Prüfbericht: PRF-95220,1.0,CH-SCvZ-8200,Gießerei Leipzig
2024-10-04T23:15:47,GX-61535,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 708°C | Prüfbericht: PRF-90684 | Kernreparatur läuft,2.0,CH-astl-1187,Gießerei Wolfsburg
2024-04-30T09:41:27,GX-94854,schmelzprozess,"Schmelzofen Schmelzofen 1 Temp-Abweichung: 675°C ¦ Chargenanalyse: C:3.2%, Si:2.1% | Wärmenachbehandlung eingeleitet",2.0,CH-pRov-3501,Gießerei Wolfsburg
2024-12-20T03:13:40,GX-58036,formprozess,Sandfeuchte Lunker% außerhalb Toleranz (2.8-3.2%) (Verdacht: Legierungsdrift),1.0,CH-RMsC-8031,Gießerei Leipzig
2024-12-12T09:52:21,GX-16836,endpruefung,Röntgenprüfung zeigt Gasporosität in Zone Handling-Schaden | IATF-Konformität: teilkonform | Wärmenachbehandlung eingeleitet,2.0,CH-khdG-5083,Gießerei Stuttgart
2024-11-09T02:29:03,GX-02587,endpruefung,Röntgenprüfung zeigt Kaltlauf in Zone Sandausbruch | Kernreparatur läuft,1.0,CH-NGqT-3675,Gießerei Leipzig
2024-06-29T20:06:40,GX-12719,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 668°C,1.0,CH-WVRC-1991,Gießerei Wolfsburg
2024-08-16T02:29:27,GX-24277,endpruefung,Härteprüfung Sandausbruch: Kernschale Verschleiß HV vs. Kaltlauf (Verdacht: Formüberhitzung) | Wärmenachbehandlung eingeleitet,3.0,CH-VZEM-6168,Gießerei Stuttgart
2024-06-11T01:01:34,GX-14002,,,,CH-QNZs-8355,Gießerei Leipzig
2024-08-25T08:59:24,GX-17317,gussfehler,Kokillenriss an Radträger (GX-17317) | Charge CH-xLRU-2138 | Gießparameter optimiert,1.0,CH-xLRU-2138,Gießerei Leipzig
2024-03-12T20:06:42,GX-36698,gussfehler,Qualitätsabweichung Handling-Schaden: Kaltlauf | Raueit Ra 3.9 µm | Prüfbericht: PRF-03288,1.0,CH-tLrR-8380,Gießerei Stuttgart
2024-06-17T06:08:30,GX-95755,formprozess,Kernbruch K-1274 | Ursache: Handling-Schaden (Verdacht: Formüberhitzung) | Schleifnacharbeit notwendig,1.0,CH-ExNa-0258,Gießerei Wolfsburg
2024-10-08T06:42:40,GX-96087,gussfehler,,3.0,CH-Vzns-3515,Gießerei Stuttgart
2024-07-08T12:54:24,GX-23436,formprozess,Formdruckabweichung Kaltlauf bar vs. Kaltlauf bar // Form FORM-yF59 (Verdacht: Formüberhitzung),1.0,CH-gNVv-1751,Gießerei Wolfsburg
2024-07-25T08:41:37,GX-65357,nachbearbeitung,Maßabweichung Kernschale Verschleiß: Sandausbruchmm vs. Kernschale Verschleiß±Lunkermm | Prüfbericht: PRF-31680 | Gießparameter optimiert,3.0,CH-BLCH-5969,Gießerei Wolfsburg
2024-05-04T09:31:24,GX-46003,endpruefung,Dichtheitsprüfung Fehler: Sandbindermangel mbar/min vs. max Sandbindermangel (Verdacht: Formüberhitzung),1.0,CH-vuqm-7492,Gießerei Wolfsburg
2024-09-23T09:25:32,GX-50829,formprozess,Kernbruch K-1129; Ursache: Sandbindermangel,2.0,UNBEKANNT,Gießerei Stuttgart
2024-09-09T16:24:49,GX-74103,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 696°C | IATF-Konformität: konform,1.0,CH-fdHA-1619,Gießerei Leipzig
2024-10-28T21:31:20,GX-62485,formprozess,Sandfeuchte Sandausbruch% außerhalb Toleranz (2.8-3.2%); Normabweichung: ISO 8062,1.0,CH-AOBk-5436,Gießerei Stuttgart
2025-01-06T16:02:49,GX-69472,nachbearbeitung,Oberflächenrauheit Sandausbruch µm außerhalb Spezifikation,2.0,CH-ICIv-7810,Gießerei Stuttgart
2024-06-18T18:29:09,GX-17607,schmelzprozess,Legierungsabweichung Mg: Sandausbruch% vs. Soll Kernschale Verschleiß%,1.0,CH-zHoT-3307,Gießerei Leipzig
2024-12-15T09:04:59,GX-28928,nachbearbeitung,Bearbeitungsfehler Lunker: Handling-Schaden | Teil GX-28928 | Normabweichung: DIN 1681,2.0,CH-GImo-2434,Gießerei Wolfsburg
2025-02-04T07:19:27,GX-55075,endpruefung,Härteprüfung Kaltlauf: Kaltlauf HV vs. Sandbindermangel (Verdacht: Sandfeuchteabweichung) | Gießparameter optimiert,1.0,CH-TbOC-9788,Gießerei Leipzig
2024-07-15T00:29:58,GX-86895,gussfehler,"Kokillenriss an Radträger (GX-86895) | Charge CH-NBMH-0388 | Chargenanalyse: Mg:0.4%, Ti:0.1%",2.0,CH-NBMH-0388,Gießerei Stuttgart
2024-04-01T14:24:31,GX-15761,nachbearbeitung,Oberflächenrauheit Kaltlauf µm außerhalb Spezifikation // Prüfbericht: PRF-87557,1.0,CH-KoRJ-2974,Gießerei Wolfsburg
2024-04-27T00:46:10,GX-14669,gussfehler,Qualitätsabweichung Kernschale Verschleiß: Kernschale Verschleiß | Dickenmaß: 149.6 mm,2.0,CH-jozc-3549,Gießerei Stuttgart
2024-05-18T19:55:46,GX-15913,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 650°C (Verdacht: Formüberhitzung),2.0,CH-ENHp-0558,Gießerei Leipzig
2024-07-17T16:37:14,GX-42834,,,,CH-vuXW-8896,Gießerei Leipzig
2025-02-12T23:04:50,GX-49891,nachbearbeitung,Maßabweichung Sandausbruch: Kernschale Verschleißmm vs. Lunker±Kernschale Verschleißmm | Schleifnacharbeit notwendig,1.0,CH-TmnY-2948,Gießerei Stuttgart
2024-11-02T13:34:42,GX-38550,endpruefung,"Härteprüfung Handling-Schaden: Kernschale Verschleiß HV vs. Kaltlauf ¦ Chargenanalyse: C:3.2%, Si:2.1% | Nacharbeit gemäß VDA 6.3",1.0,CH-ctbE-8321,Gießerei Stuttgart
2024-05-20T15:30:56,GX-93084,endpruefung,Dichtheitsprüfung Fehler: Sandbindermangel mbar/min vs. max Sandausbruch | Schleifnacharbeit notwendig,2.0,CH-vTHM-8605,Gießerei Leipzig
2024-07-27T19:00:14,GX-06347,formprozess,"Kernbruch K-1943 | Ursache: Sandbindermangel | Chargenanalyse: C:3.2%, Si:2.1% | Kernreparatur läuft",2.0,CH-mYJc-8891,Gießerei Stuttgart
2024-09-23T07:19:42,GX-84898,nachbearbeitung,Maßabweichung Sandausbruch: Handling-Schadenmm vs. Sandbindermangel±Lunkermm,3.0,CH-TTZH-6017,Gießerei Leipzig
2024-04-29T18:09:45,GX-05799,nachbearbeitung,Bearbeitungsfehler Sandbindermangel: Kaltlauf; Teil GX-05799,1.0,CH-qmjy-9991,Gießerei Leipzig
2024-06-27T20:10:05,GX-68442,,,,CH-PQZt-4133,Gießerei Stuttgart
2024-12-25T23:30:57,GX-90853,formprozess,Formdruckabweichung Kernschale Verschleiß bar vs. Lunker bar | Form FORM-aY30,1.0,CH-TGOM-8511,Gießerei Leipzig
2025-03-01T13:39:27,GX-54922,endpruefung,Röntgenprüfung zeigt Kokillenriss in Zone Handling-Schaden,2.0,CH-MvNk-1528,Gießerei Stuttgart
2025-02-06T20:08:14,GX-93801,gussfehler,Qualitätsabweichung Sandausbruch: Sandausbruch | Dickenmaß: 91.1 mm | IATF-Konformität: teilkonform | Nacharbeit gemäß VDA 6.3,1.0,CH-mdby-7643,Gießerei Leipzig
2025-01-06T14:05:03,GX-44420,endpruefung,Härteprüfung Kaltlauf: Kaltlauf HV vs. Kernschale Verschleiß (Verdacht: Legierungsdrift),3.0,CH-GwUl-2262,Gießerei Stuttgart
2024-07-30T18:07:52,GX-11683,nachbearbeitung,Bearbeitungsfehler Kernschale Verschleiß: Handling-Schaden | Teil GX-11683 | Normabweichung: ISO 8062,1.0,CH-wiMl-1777,Gießerei Stuttgart
2024-06-11T14:25:48,GX-64770,nachbearbeitung,Bearbeitungsfehler Sandbindermangel: Kernschale Verschleiß; Teil GX-64770,1.0,CH-xljo-0827,Gießerei Wolfsburg
2025-01-13T06:44:00,GX-80910,,,,CH-EHqa-6343,Gießerei Leipzig
2025-02-21T12:35:12,GX-51317,formprozess,,1.0,CH-qXBx-7622,Gießerei Stuttgart
2025-02-18T14:02:04,GX-54348,nachbearbeitung,Bearbeitungsfehler Sandausbruch: Handling-Schaden | Teil GX-54348 | Normabweichung: VDA 6.3,2.0,CH-tkmJ-6031,Gießerei Leipzig
2025-02-07T12:45:25,GX-71764,nachbearbeitung,Maßabweichung Kaltlauf: Lunkermm vs. Lunker±Kaltlaufmm | Wärmenachbehandlung eingeleitet,1.0,CH-SSYs-8604,Gießerei Leipzig
2024-12-24T16:08:10,GX-47870,schmelzprozess,Spektralanalyse zeigt Mg-Mangel | Charge CH-yHml-1818 | Schleifnacharbeit notwendig,1.0,CH-yHml-1818,Gießerei Stuttgart
